Jahr,Rathaus,Hochschulen,Lindenhof,City,Wollishofen,Leimbach,Enge,Alt-Wiedikon,Friesenberg,Sihlfeld,Werd,Langstrasse,Hard,Gewerbeschule,Escher Wyss,Unterstrass,Oberstrass,Fluntern,Hottingen,Hirslanden,Witikon,Seefeld,Mühlebach,Weinegg,Albisrieden,Altstetten,Höngg,Wipkingen,Affoltern,Oerlikon,Seebach,Saatlen,Schwamendingen-Mitte,Hirzenbach
1999,39.9,31.05,43.7,31.3,36.85,33.3,43.4,36.8,26.5,32.3,33.3,29.4,27.2,32.1,35.5,36.8,41.55,46.4,41.1,38.9,42.6,42.2,40.2,40,34.9,33.5,42.1,34.4,32.8,37,32,27.3,30,26.6
2000,42.8,32.35,45.2,37.25,38,32.85,45.8,38.9,28,34.1,35.4,31.4,28.1,34.6,40.4,38,43.6,48.2,42.7,40,44.4,46.2,43,41.95,35.7,34.8,43.4,36.9,33.6,38.3,33.2,29,31.6,28.1
2001,45,35.3,48.45,35.55,39.8,35,47.6,39.8,30,35.6,38.2,32.9,30,36,41.45,39.9,45.4,49,45.1,41.7,45.35,47.9,44.2,43.9,37.8,36,45.1,38.8,34.4,40,34.3,31.3,32.8,28.7
2002,44.05,33.2,45,36.3,39.5,36.5,46.9,40.5,29.7,35.5,38.65,32.9,29.7,36,45.2,40.5,45.7,48.55,45.7,42.1,45.1,48.3,43.55,43.3,37.1,36.3,45.3,39,35,40.1,34.7,30.6,33.05,29
2003,45,32.3,49.1,38,39.3,34.8,47.29,40.2,29.8,35.5,38,34.1,30,37,47.1,40.7,45.7,48.5,46,42.45,44.1,47.6,44.7,44.7,36.8,36.6,45.1,39.5,34.4,40,34.8,30.5,32.5,29.6
2004,42.1,32.85,51.45,36,38.7,34.1,47.4,40.6,28.5,35.6,39.1,33.1,29.85,37.1,47.4,41,46,49.05,46.3,42.9,42.8,47.9,43.75,44,36.5,36.1,44.4,39.4,34.2,39.85,34.2,29.7,31.9,29.2
2005,44.5,33.05,50.5,36.6,38.75,35,48.6,42.4,28.2,35.8,40,34.8,29.2,37.5,46.9,41.5,47.1,50.3,47.5,43.9,43.4,49.8,45.5,44,36.4,35.9,44.85,39.6,34.8,39.9,34.4,29.3,31.3,28.5
2006,46.2,33.5,52.4,35.8,39.5,35.6,50,43.9,28.9,36.9,41.05,35.3,29.8,38.3,50.65,41.4,48.9,52.95,48.1,43.5,44.4,52,47.55,44.6,37.3,36.6,45.8,40.6,35,41.4,34.6,30.95,30.8,29.3
2007,47.15,40,54,39.8,40.8,37.45,52.65,45.2,30,38.9,42.6,36,31.1,40,54,44,50.6,56.25,50.3,45.3,46.1,55.7,50.1,45.45,39.3,37.8,46.85,42.1,36.2,43.25,36,31.95,31.5,30.25
2008,49.3,39,56.35,41.8,42.2,38.4,55.1,47.7,30.45,39.8,44.5,38.8,32.7,41.9,55.95,46,52.2,59.6,52.3,47,45.6,57.8,51.9,46.85,40.7,39.6,48.3,43.7,38.1,44.5,37.7,32.2,32.7,30.5
